,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
28 Apr 2017,2384.2,62.814,35.913,55.41,46.25,75.18,43.15,1268.28,49.33,2.2802,1.2619
1 May 2017,2388.33,64.566,36.645,54.99,47.412,75.23,43.22,1256.58,48.84,2.318,1.2739
2 May 2017,2391.17,63.778,36.878,55.07,47.347,75.52,43.39,1256.76,47.66,2.2803,1.258
3 May 2017,2388.13,62.204,36.765,54.53,47.052,75.76,43.32,1238.17,47.82,2.318,1.2939
4 May 2017,2389.52,59.092,36.633,54.47,46.877,76.34,43.66,1228.16,45.52,2.3541,1.3059
5 May 2017,2399.29,61.67,37.24,53.95,46.707,76.5,43.69,1228.01,46.22,2.3487,1.3102
8 May 2017,2399.38,61.438,38.253,54.3,47.452,76.12,43.89,1226.23,46.43,2.3868,1.3303
9 May 2017,2396.92,64.252,38.498,54.89,47.641,76.72,43.51,1221.23,45.88,2.3977,1.3405
10 May 2017,2399.63,65.044,38.315,54.56,47.448,76.7,43.57,1219.1,47.33,2.4141,1.3548
11 May 2017,2394.44,64.62,38.488,54.24,47.381,76.13,43.67,1225.04,47.83,2.3874,1.3347
12 May 2017,2390.9,64.962,39.025,54.2,48.068,75.71,43.59,1228.43,47.84,2.3257,1.2904
15 May 2017,2402.32,63.176,38.925,53.77,47.899,76.29,43.73,1230.82,48.85,2.3433,1.2986
16 May 2017,2400.67,63.402,38.868,52.78,48.304,75.11,43.85,1237.24,48.66,2.3257,1.2987
17 May 2017,2357.03,61.222,37.563,51.8,47.238,75.12,43.93,1261.36,49.07,2.2243,1.2458
18 May 2017,2365.72,62.612,38.135,51.68,47.925,77.54,43.8,1247.07,49.35,2.2294,1.2682
19 May 2017,2381.73,62.166,38.265,51.77,47.992,78.77,43.9,1255.93,50.33,2.2346,1.2703
22 May 2017,2394.02,62.07,38.498,51.57,48.534,78.55,44.18,1260.63,50.73,2.2537,1.2826
23 May 2017,2398.42,60.772,38.45,52.2,48.577,78.49,44.39,1251.22,51.47,2.2799,1.3032
24 May 2017,2404.39,62.044,38.335,52.01,49.018,78.15,45.03,1258.73,51.36,2.2502,1.2818
25 May 2017,2415.07,63.366,38.468,52.35,49.669,78.31,45.41,1255.67,48.9,2.2554,1.2937
26 May 2017,2415.82,65.028,38.403,52.59,49.789,78.13,45.39,1266.76,49.8,2.2465,1.2937
29 May 2017,2415.82,65.028,38.403,52.59,49.789,78.13,45.39,1268.1,49.8,2.2465,1.2937
30 May 2017,2412.91,67.02,38.418,52.92,49.835,78.15,45.43,1263.09,49.66,2.2098,1.2837
31 May 2017,2411.8,68.202,38.19,52.99,49.731,78.6,45.47,1268.92,48.32,2.2028,1.2818
1 Jun 2017,2430.06,68.074,38.295,52.3,49.798,79.81,45.79,1265.96,48.36,2.2114,1.2898
2 Jun 2017,2439.07,67.97,38.863,52.98,50.337,79.62,45.89,1279.17,47.66,2.1591,1.2879
5 Jun 2017,2436.1,69.464,38.483,53.01,50.567,80.26,45.99,1279.8,47.4,2.1817,1.302
6 Jun 2017,2429.33,70.57,38.613,52.48,50.15,78.93,45.98,1294.39,48.19,2.1451,1.294
7 Jun 2017,2433.14,71.93,38.843,53.23,50.504,79.15,45.51,1287.15,45.72,2.1729,1.3061
8 Jun 2017,2433.79,74,38.748,53.2,50.514,78.93,45.13,1278.01,45.64,2.1885,1.3143
9 Jun 2017,2431.77,71.464,37.245,53.46,48.915,79.42,45.32,1266.76,45.83,2.2005,1.3347
12 Jun 2017,2429.39,71.802,36.355,54.03,48.246,79.24,45.33,1266.18,46.08,2.2145,1.3551
13 Jun 2017,2440.35,75.19,36.648,54.31,49.04,79.52,45.03,1266.55,46.46,2.2109,1.3633
14 Jun 2017,2437.92,76.132,36.29,54.66,48.824,79.9,45.3,1260.86,44.73,2.1256,1.331
15 Jun 2017,2432.46,75.068,36.073,52.9,48.209,78.91,45.25,1253.98,44.46,2.1637,1.3514
16 Jun 2017,2433.15,74.28,35.568,51.1,49.386,75.24,45.31,1253.73,44.74,2.1514,1.3151
19 Jun 2017,2453.46,73.96,36.585,52.02,49.759,75.5,45.38,1243.84,44.2,2.1879,1.356
20 Jun 2017,2437.03,74.448,36.253,51.56,49.63,75.54,45.61,1243.01,43.23,2.1565,1.3439
21 Jun 2017,2435.61,75.28,36.468,52.59,50.112,76.24,45.22,1246.48,42.53,2.1634,1.3481
22 Jun 2017,2434.5,76.522,36.408,52.4,50.065,75.52,45.07,1250.51,42.74,2.1477,1.3401
23 Jun 2017,2438.3,76.69,36.57,52.85,50.187,74.84,45.25,1256.71,43.01,2.1423,1.3404
26 Jun 2017,2439.07,75.498,36.455,53.28,49.699,75.5,45.43,1244.72,43.38,2.137,1.3323
27 Jun 2017,2419.38,72.474,35.933,52.95,48.839,76.01,45.05,1247.17,44.24,2.2051,1.3692
28 Jun 2017,2440.69,74.248,36.458,53.36,49.517,76.51,45.32,1249.27,44.74,2.2279,1.3533
29 Jun 2017,2419.7,72.15,35.92,53.17,48.796,75.93,44.83,1245.51,44.93,2.2666,1.3692
30 Jun 2017,2423.41,72.322,36.005,59,48.4,75.68,44.85,1241.61,46.04,2.3037,1.3817
3 Jul 2017,2429.01,70.524,35.875,58.65,47.683,75.36,44.76,1220.2,47.07,2.3499,1.4101
4 Jul 2017,2429.01,70.524,35.875,58.65,47.683,75.36,44.76,1223.42,47.07,2.3499,1.4101
5 Jul 2017,2432.54,65.418,36.023,57.56,48.57,75.32,44.82,1227.04,45.13,2.3232,1.4022
6 Jul 2017,2409.75,61.766,35.683,57.16,48.257,75.47,44.4,1225.22,45.52,2.3659,1.3944
7 Jul 2017,2425.18,62.644,36.045,57.98,48.938,75.33,44.39,1212.46,44.23,2.3856,1.399
10 Jul 2017,2427.43,63.21,36.265,58.73,49.824,73.23,44.38,1214.36,44.4,2.373,1.383
11 Jul 2017,2425.53,65.444,36.383,58.18,49.707,73.47,44.33,1217.72,45.04,2.3605,1.3751
12 Jul 2017,2443.25,65.904,36.435,58.22,50.326,73.94,44.51,1220.51,45.49,2.3177,1.3429
13 Jul 2017,2447.83,64.682,36.943,57.94,50.032,75.05,44.43,1217.58,46.08,2.3444,1.3633
14 Jul 2017,2459.27,65.556,37.26,58,50.091,76.34,44.68,1228.7,46.54,2.3319,1.3556
17 Jul 2017,2459.14,63.914,37.39,57.79,50.502,76.37,44.73,1234.11,46.02,2.3141,1.3557
18 Jul 2017,2460.61,65.648,37.52,57.65,51.223,76.2,44.67,1242.47,46.4,2.259,1.3477
19 Jul 2017,2473.83,65.052,37.755,57.77,51.343,75.87,44.83,1241.25,47.12,2.2696,1.356
20 Jul 2017,2473.45,65.984,37.585,59.1,51.435,76.02,44.82,1244.49,46.79,2.2589,1.3521
21 Jul 2017,2472.54,65.68,37.568,59.95,51.284,76.15,45.03,1254.98,45.77,2.2375,1.3402
24 Jul 2017,2469.91,68.504,38.023,58.95,51.948,76.89,44.84,1255.3,46.34,2.2552,1.3567
25 Jul 2017,2477.13,67.92,38.185,59.39,51.994,78.52,45.24,1250.06,47.89,2.3354,1.3899
26 Jul 2017,2477.83,68.77,38.365,58.36,52.64,78.9,45.74,1260.53,48.75,2.2872,1.3551
27 Jul 2017,2475.42,66.892,37.64,58.15,52.3,79.78,46.12,1259.15,49.04,2.3103,1.3631
28 Jul 2017,2472.1,67.014,37.375,58.67,51.002,79.81,46.01,1269.64,49.71,2.2889,1.3472
31 Jul 2017,2470.3,64.694,37.183,59.05,49.389,79.99,45.84,1269.44,50.17,2.2942,1.3491
1 Aug 2017,2476.35,63.914,37.513,59.84,49.81,80.5,45.7,1268.76,49.16,2.2532,1.3411
2 Aug 2017,2477.57,65.178,39.285,59.79,49.795,80.53,45.59,1266.65,49.59,2.271,1.359
3 Aug 2017,2472.16,69.418,38.893,60.14,49.346,80.87,45.67,1268.6,49.03,2.2212,1.339
4 Aug 2017,2476.83,71.382,39.098,59.76,49.379,80.48,45.5,1258.88,49.58,2.262,1.3509
7 Aug 2017,2480.91,71.034,39.703,59.79,49.614,81.28,45.64,1257.85,49.39,2.253,1.3509
8 Aug 2017,2474.92,73.044,40.02,59.46,49.492,81.59,45.6,1260.96,49.17,2.2619,1.3508
9 Aug 2017,2474.02,72.706,40.265,59.9,49.101,81.61,45.59,1277.3,49.56,2.2476,1.3387
10 Aug 2017,2438.21,71.08,38.83,59.07,47.846,80.66,45.74,1286.53,48.59,2.1975,1.3246
11 Aug 2017,2441.32,71.574,39.37,58.97,48.4,80.4,45.59,1289.31,48.82,2.1888,1.294
14 Aug 2017,2465.84,72.76,39.963,59.78,49.165,80.7,45.8,1282.15,47.59,2.2185,1.3182
15 Aug 2017,2464.61,72.466,40.4,58.56,49.137,80.77,46.19,1271.53,47.55,2.2728,1.3465
16 Aug 2017,2468.11,72.582,40.238,58.54,48.909,80.98,46.2,1283.11,46.78,2.222,1.3261
17 Aug 2017,2430.01,70.384,39.465,57.46,48.029,79.7,45.86,1288.15,47.09,2.1853,1.2956
18 Aug 2017,2425.55,69.492,39.375,54.95,47.924,79.31,45.67,1284.13,48.51,2.1939,1.3054
21 Aug 2017,2428.37,67.572,39.303,53.61,47.665,79.71,45.68,1291.88,47.37,2.1817,1.3012
22 Aug 2017,2452.51,68.27,39.945,54.13,48.345,80.02,45.6,1285.08,47.64,2.2131,1.3216
23 Aug 2017,2444.04,70.554,39.995,53.61,47.9,79.96,45.54,1290.96,48.41,2.166,1.3051
24 Aug 2017,2438.97,70.586,39.818,53.84,47.623,78.34,45.41,1286.4,47.43,2.1939,1.3297
25 Aug 2017,2443.05,69.61,39.965,53.9,47.263,78.63,45.57,1291.35,47.87,2.1659,1.3315
28 Aug 2017,2444.24,69.132,40.368,53.73,47.301,78.03,45.42,1310.13,46.57,2.1571,1.3253
29 Aug 2017,2446.3,69.472,40.728,52.73,47.703,78.77,45.45,1309.23,46.44,2.1292,1.3155
30 Aug 2017,2457.59,70.636,40.838,52.56,48.38,78.54,45.39,1308.6,45.96,2.1309,1.3255
31 Aug 2017,2471.65,71.18,41,52.81,49.03,78.07,45.55,1321.43,47.23,2.117,1.3255
1 Sep 2017,2476.55,71.08,41.013,53.36,48.913,78.37,45.78,1325.23,47.29,2.1657,1.342
4 Sep 2017,2476.55,71.08,41.013,53.36,48.913,78.37,45.78,1333.87,47.29,2.1657,1.342
5 Sep 2017,2457.85,69.918,40.52,53.01,48.264,79.8,45.92,1339.71,48.66,2.0596,1.29
6 Sep 2017,2465.54,68.906,40.478,52.76,48.39,80.08,45.96,1334.22,49.16,2.1046,1.3021
7 Sep 2017,2465.1,70.122,40.315,52.39,48.974,80.12,46.28,1349.22,49.09,2.0387,1.262
8 Sep 2017,2461.43,68.68,39.658,52.2,48.295,78.88,46.3,1346.59,47.48,2.0507,1.262
11 Sep 2017,2488.11,72.738,40.375,53.03,48.898,79.08,46.52,1327.54,48.07,2.1306,1.3186
12 Sep 2017,2496.48,72.55,40.215,53.4,49.129,79.61,46.72,1331.81,48.23,2.1672,1.3348
13 Sep 2017,2498.37,73.246,39.913,53.52,49.98,79.86,46.87,1322.37,49.3,2.1883,1.3471
14 Sep 2017,2495.62,75.528,39.57,53.73,49.611,79.68,46.11,1329.74,49.89,2.1847,1.3615
15 Sep 2017,2500.23,75.962,39.97,53.87,49.34,80.38,46.18,1320.18,49.89,2.2023,1.3803
18 Sep 2017,2503.87,77,39.668,53.5,48.71,80,46.11,1307.44,49.91,2.2287,1.3947
19 Sep 2017,2506.65,75.02,39.683,53.33,48.493,80.05,45.98,1311.15,49.48,2.2446,1.4011
20 Sep 2017,2508.24,74.782,39.018,53.56,48.661,80.5,45.78,1301.1,50.41,2.2676,1.4382
21 Sep 2017,2500.6,73.296,38.348,53.19,48.233,80.01,45.4,1291.2,50.55,2.2765,1.4385
22 Sep 2017,2502.22,70.218,37.973,53.24,47.755,79.53,45.49,1297.3,50.66,2.2499,1.431
25 Sep 2017,2496.66,68.998,37.638,53.23,46.99,79.15,45.69,1310.78,52.22,2.2198,1.423
26 Sep 2017,2496.84,69.05,38.285,53.7,46.93,79.39,45.57,1293.98,51.88,2.2357,1.4356
27 Sep 2017,2507.04,68.194,38.558,52.67,47.544,79.29,44.64,1282.78,52.14,2.3103,1.4707
28 Sep 2017,2510.06,67.92,38.32,52.63,47.82,78.95,44.91,1287.3,51.56,2.3085,1.4508
29 Sep 2017,2519.36,68.22,38.53,51.85,48.068,78.14,45.01,1279.75,51.67,2.3336,1.4827
2 Oct 2017,2529.12,68.306,38.453,51.87,47.96,78.45,44.8,1271.13,50.58,2.3408,1.4828
3 Oct 2017,2534.58,69.628,38.62,51.47,47.855,79.22,45.19,1271.66,50.42,2.3229,1.471
4 Oct 2017,2537.74,71.002,38.37,52.08,48.273,79.09,45.5,1274.85,49.98,2.3229,1.4711
5 Oct 2017,2552.07,71.066,38.848,52.18,49.043,79.41,45.52,1268.22,50.79,2.348,1.4873
6 Oct 2017,2549.33,71.376,38.825,52.42,49.479,79,45.49,1276.68,49.29,2.3589,1.504
9 Oct 2017,2544.73,68.588,38.96,51.52,49.55,80.53,45.41,1284.05,49.58,2.3589,1.504
10 Oct 2017,2550.64,71.118,38.975,51.53,49.36,84.13,45.87,1288.03,50.92,2.3607,1.5123
11 Oct 2017,2555.24,70.92,39.138,51.03,49.75,85.73,46.1,1291.72,51.3,2.3481,1.5186
12 Oct 2017,2550.93,71.136,39,50.83,50.046,86.1,46.11,1293.72,50.6,2.3177,1.5127
13 Oct 2017,2553.17,71.114,39.248,50.98,50.147,86.62,46.18,1303.82,51.45,2.273,1.4929
16 Oct 2017,2557.64,70.12,39.97,51.37,50.317,85.74,46.62,1295.79,51.87,2.3034,1.5379
17 Oct 2017,2559.36,71.15,40.118,52,50.457,85.98,46.52,1285.12,51.88,2.2998,1.5463
18 Oct 2017,2561.26,71.93,39.94,52.3,49.85,86.22,46.4,1281.08,52.04,2.3465,1.5629
19 Oct 2017,2562.1,70.362,38.995,52.69,49.331,86.4,46.59,1290.13,51.29,2.3178,1.5304
20 Oct 2017,2575.21,69.02,39.063,53.06,49.146,87.44,46.38,1280.47,51.47,2.3845,1.5763
23 Oct 2017,2564.98,67.404,39.043,53.66,48.315,88.65,46.32,1282.27,51.9,2.3664,1.5642
24 Oct 2017,2569.13,67.468,39.275,53.42,48.795,87.98,46.18,1276.58,52.47,2.4189,1.581
25 Oct 2017,2557.15,65.168,39.103,54.94,48.646,88.48,46.05,1277.53,52.18,2.4317,1.595
26 Oct 2017,2560.4,65.234,39.353,56.81,48.622,88.62,46.23,1266.99,52.64,2.4609,1.6149
27 Oct 2017,2581.07,64.174,40.763,55.96,55.048,88.17,46.07,1273.35,53.9,2.4064,1.5875
30 Oct 2017,2572.83,64.016,41.68,55.27,55.543,86.95,45.86,1276.29,54.15,2.3684,1.5737
31 Oct 2017,2575.26,66.306,42.26,54.99,55.264,87.31,45.98,1271.45,54.38,2.3793,1.5997
1 Nov 2017,2579.36,64.216,41.723,55.07,55.184,87.94,45.8,1274.66,54.3,2.3721,1.6119
2 Nov 2017,2579.85,59.852,42.028,55.12,54.711,88.8,45.88,1276.13,54.54,2.345,1.608
3 Nov 2017,2587.84,61.218,43.125,55.71,55.58,89.68,45.97,1269.91,55.64,2.3325,1.6145
6 Nov 2017,2591.13,60.556,43.563,56.04,56.033,88.7,45.47,1281.95,57.35,2.3163,1.6207
7 Nov 2017,2590.64,61.21,43.703,55.15,56.159,88.95,45.94,1275.3,57.2,2.3145,1.6289
8 Nov 2017,2594.38,60.878,44.06,55.76,56.644,90.26,46.18,1281.36,56.81,2.3343,1.6452
9 Nov 2017,2584.62,60.598,43.97,56.13,56.457,90.3,46.23,1285.07,57.17,2.3416,1.6333
10 Nov 2017,2582.3,60.598,43.668,56.09,56.268,90.92,46.54,1275.07,56.74,2.3984,1.6541
13 Nov 2017,2584.84,63.08,43.493,55.91,56.459,90.99,46.72,1278.31,56.76,2.4055,1.6808
14 Nov 2017,2578.87,61.74,42.835,55.98,56.842,91.09,47.43,1280.25,55.7,2.3717,1.6872
15 Nov 2017,2564.62,62.26,42.27,56.63,56.335,89.83,46.81,1278.14,55.33,2.3222,1.6834
16 Nov 2017,2585.64,62.5,42.775,57.23,56.865,99.62,46.55,1278.58,55.14,2.3753,1.7082
17 Nov 2017,2578.85,63.01,42.538,59.19,56.494,97.47,45.71,1292.42,56.55,2.3435,1.7213
20 Nov 2017,2582.14,61.748,42.495,59.25,56.316,97.48,45.46,1276.92,56.09,2.3666,1.7505
21 Nov 2017,2599.03,63.562,43.285,59.39,56.975,96.52,45.78,1280.61,56.83,2.3559,1.7715
22 Nov 2017,2597.08,62.52,43.74,59.07,57.808,96.41,45.84,1292.12,58.02,2.3187,1.7267
23 Nov 2017,2597.08,62.52,43.74,59.07,57.808,96.41,45.84,1291.47,58.02,2.3187,1.7267
24 Nov 2017,2602.42,63.11,43.743,59.32,59.3,96.62,45.88,1288.37,58.95,2.3418,1.7443
27 Nov 2017,2601.42,63.362,43.523,59.63,59.792,96.62,45.9,1294.52,58.11,2.3277,1.7404
28 Nov 2017,2627.04,63.51,43.268,59.58,59.68,96.77,45.83,1293.98,57.99,2.3277,1.746
29 Nov 2017,2626.07,61.508,42.37,60.36,58.064,97.56,45.5,1283.64,57.3,2.3882,1.762
30 Nov 2017,2647.58,61.77,42.963,60.42,58.838,97.23,45.77,1275.01,57.4,2.4097,1.782
1 Dec 2017,2642.22,61.306,42.763,59.88,58.117,97.35,45.97,1280.62,58.36,2.3615,1.772
4 Dec 2017,2639.44,61.04,42.45,60.1,56.698,97.01,46.23,1276.18,57.47,2.3723,1.8063
5 Dec 2017,2629.57,60.74,42.41,60.42,57.079,97.83,46.26,1265.77,57.62,2.3509,1.8184
6 Dec 2017,2629.27,62.652,42.253,59.72,57.617,97.28,46.45,1263.37,55.96,2.3385,1.8064
7 Dec 2017,2636.98,62.248,42.33,60.6,57.99,96.78,45.78,1247.22,56.69,2.3634,1.8024
8 Dec 2017,2651.5,63.026,42.343,61.3,58.1,96.55,45.31,1248.49,57.36,2.376,1.7945
11 Dec 2017,2659.99,65.782,43.168,61.91,58.446,96.93,45.33,1242.02,57.99,2.3886,1.8189
12 Dec 2017,2664.11,68.206,42.925,62.17,58.254,96.7,45.29,1244.49,57.14,2.4011,1.8271
13 Dec 2017,2662.85,67.806,43.068,64.3,58.207,97.76,45.9,1255.5,56.6,2.3422,1.7743
14 Dec 2017,2652.01,67.578,43.055,64.53,58.713,97.13,46.03,1252.96,57.04,2.3493,1.811
15 Dec 2017,2675.81,68.69,43.493,64.79,58.957,97.11,46.19,1256.44,57.3,2.353,1.8358
18 Dec 2017,2690.16,67.774,44.105,64.81,59.529,97.9,45.93,1262.26,57.16,2.3942,1.8277
19 Dec 2017,2681.47,66.22,43.635,64.24,59.369,98.8,46.13,1261.7,57.46,2.4644,1.8525
20 Dec 2017,2679.25,65.796,43.588,63.59,58.881,98.75,46.08,1265.57,58.09,2.497,1.8567
21 Dec 2017,2684.57,66.332,43.753,64.77,58.738,98.06,45.6,1266.6,58.36,2.4826,1.8775
22 Dec 2017,2683.34,65.04,43.753,63.29,58.418,98.21,45.59,1274.16,58.47,2.481,1.8906
25 Dec 2017,2683.34,65.04,43.753,63.29,58.418,98.21,45.59,1274.16,58.47,2.481,1.8906
26 Dec 2017,2680.5,63.458,42.643,63.65,58.838,99.16,45.81,1283.1,59.97,2.4756,1.8991
27 Dec 2017,2682.62,62.328,42.65,62.95,59.113,99.26,45.93,1287.18,59.64,2.4107,1.893
28 Dec 2017,2687.54,63.072,42.77,62.95,59.305,99.4,45.72,1295.04,59.84,2.4305,1.9071
29 Dec 2017,2673.61,62.27,42.308,62.55,58.474,98.75,45.88,1302.8,60.42,2.4054,1.883
1 Jan 2018,2673.61,62.27,42.308,62.55,58.474,98.75,45.88,1302.8,60.42,2.4054,1.883
2 Jan 2018,2695.81,64.106,43.065,63.49,59.451,98.59,45.54,1317.56,60.37,2.4633,1.9191
3 Jan 2018,2713.06,63.45,43.058,63.48,60.21,99.45,45.44,1313.21,61.63,2.4471,1.9313
4 Jan 2018,2723.99,62.924,43.258,63.44,60.479,99.54,46.08,1323.01,62.01,2.4525,1.9515
5 Jan 2018,2743.15,63.316,43.75,63.98,61.457,100.13,46.07,1319.59,61.44,2.4763,1.9599
8 Jan 2018,2747.71,67.282,43.588,64.55,62.343,101.61,46,1320.4,61.73,2.48,1.9579
9 Jan 2018,2751.29,66.738,43.583,64.09,62.635,100.39,46.23,1312.85,62.96,2.553,1.9682
10 Jan 2018,2748.23,66.96,43.573,64.22,62.717,99.67,46.07,1316.89,63.57,2.5568,1.9724
11 Jan 2018,2767.56,67.59,43.82,64.29,63.834,100.02,46.04,1322.44,63.8,2.5367,1.9786
12 Jan 2018,2786.24,67.244,44.273,64.67,65.26,100.87,46.15,1337.64,64.3,2.5462,1.9976
15 Jan 2018,2786.24,67.244,44.273,64.67,65.26,100.87,46.15,1339.99,64.3,2.5462,1.9976
16 Jan 2018,2776.42,68.012,44.048,63.42,65.243,100.69,46.53,1338.41,63.73,2.5371,2.0142
17 Jan 2018,2802.56,69.432,44.775,63.81,64.75,102.7,46.82,1326.84,63.97,2.5904,2.0431
18 Jan 2018,2798.03,68.914,44.815,64.11,64.666,104.3,46.88,1327.03,63.95,2.6256,2.0434
19 Jan 2018,2810.3,70.004,44.615,67.21,64.729,104.59,47.16,1331.84,63.37,2.6592,2.0647
22 Jan 2018,2832.97,70.312,44.25,66.39,66.366,105.45,47.38,1333.92,63.49,2.65,2.0608
23 Jan 2018,2839.13,70.558,44.26,67.14,68.127,105.9,47.45,1341.21,64.47,2.6131,2.0403
24 Jan 2018,2837.54,69.178,43.555,68,67.876,105.79,47.83,1358.46,65.61,2.6465,2.0762
25 Jan 2018,2839.25,67.528,42.778,67.71,68.898,106.6,47.84,1348.26,65.51,2.617,2.0842
26 Jan 2018,2872.87,68.57,42.878,68.04,70.102,108.39,48.53,1349.12,66.14,2.6599,2.1163
29 Jan 2018,2853.53,69.906,41.99,67.58,70.884,109.55,47.7,1340.33,65.56,2.6936,2.1163
30 Jan 2018,2822.43,69.164,41.743,67.33,71.891,107.73,47.41,1338.59,64.5,2.7199,2.1243
31 Jan 2018,2823.81,70.862,41.858,68.22,72.545,106.6,47.59,1345.14,64.73,2.705,2.1406
1 Feb 2018,2821.98,69.85,41.945,67.65,69.5,105.52,47.45,1348.79,65.8,2.7896,2.1609
2 Feb 2018,2762.13,68.75,40.125,67.22,71.498,104.48,46.73,1333.39,65.45,2.8411,2.1413
5 Feb 2018,2648.94,66.626,39.123,64.39,69.5,100.09,44.89,1339.67,64.15,2.7056,2.0241
6 Feb 2018,2695.14,66.794,40.758,65.22,72.142,100.9,44.67,1324.16,63.39,2.8016,2.1051
7 Feb 2018,2681.66,69,39.885,65.63,70.839,102.85,44.56,1318.39,61.79,2.8359,2.1235
8 Feb 2018,2581,63.046,38.788,62.49,67.525,100.02,43.1,1318.76,61.15,2.824,2.1034
9 Feb 2018,2619.55,62.084,39.103,65.49,66.98,99.37,43.13,1316.65,59.2,2.8512,2.0732
12 Feb 2018,2656,63.146,40.678,65.98,69.312,99.55,43.97,1322.7,59.29,2.8585,2.0753
13 Feb 2018,2662.94,64.732,41.085,65.87,70.726,100.98,44.19,1329.55,59.19,2.8294,2.104
14 Feb 2018,2698.63,64.462,41.843,67.96,72.553,101.7,44.1,1350.73,60.6,2.9022,2.1636
15 Feb 2018,2731.2,66.813,43.248,68.29,73.088,103.23,44.78,1353.67,61.34,2.9095,2.1844
16 Feb 2018,2732.22,67.098,43.108,68.3,72.435,104.78,44.98,1346.96,61.68,2.8749,2.1895
19 Feb 2018,2732.22,67.098,43.108,68.3,72.435,104.78,44.98,1346.46,61.68,2.8749,2.1895
20 Feb 2018,2716.26,66.954,42.963,67.49,73.417,94.11,43.99,1329.19,61.9,2.8896,2.2187
21 Feb 2018,2701.33,66.66,42.768,67.05,74.146,91.52,43.34,1324.63,61.68,2.95,2.2661
22 Feb 2018,2703.96,69.234,43.125,67.13,74.267,92.77,43.52,1332.05,62.77,2.9207,2.246
23 Feb 2018,2747.3,70.41,43.875,68.16,75,92.89,44.04,1328.71,63.55,2.866,2.238
26 Feb 2018,2779.6,71.484,44.743,69.65,76.098,93.12,44.03,1333.68,63.91,2.8623,2.2219
27 Feb 2018,2744.28,70.198,44.598,68.03,75.599,91.52,43.62,1318.36,63.01,2.8934,2.26
28 Feb 2018,2713.83,68.612,44.53,67.03,75.623,90.01,43.22,1318.31,61.64,2.8606,2.25
1 Mar 2018,2677.67,66.186,43.75,66.32,74.673,89.08,43.43,1317.03,60.99,2.8078,2.2117
2 Mar 2018,2691.25,67.024,44.053,65.89,75.013,88.77,43.72,1322.75,61.25,2.8643,2.2418
5 Mar 2018,2720.94,66.67,44.205,65.05,76.181,89.98,43.89,1320.11,62.57,2.8808,2.2378
6 Mar 2018,2728.12,65.64,44.168,65.24,76.882,89.06,43.93,1334.56,62.6,2.8863,2.2499
7 Mar 2018,2726.8,66.46,43.758,64.17,77.25,87.74,43.82,1325.57,61.15,2.8827,2.2519
8 Mar 2018,2738.97,65.82,44.235,65.11,77.593,87.92,44.45,1321.99,60.12,2.8571,2.2498
9 Mar 2018,2786.57,65.434,44.995,66.3,78.945,88.72,44.82,1323.93,62.04,2.8938,2.258
12 Mar 2018,2783.02,69.102,45.43,66.82,79.92,88.07,44.53,1323.1,61.36,2.8681,2.262
13 Mar 2018,2765.31,68.368,44.993,66.17,79.409,88.3,44.57,1326.51,60.71,2.8426,2.2539
14 Mar 2018,2749.48,65.326,44.61,66.2,79.55,87.67,43.78,1324.85,60.96,2.817,2.258
15 Mar 2018,2747.33,65.12,44.663,66.39,79.116,87.51,43.67,1316.1,61.19,2.828,2.2846
16 Mar 2018,2752.01,64.27,44.505,65.91,78.584,89.17,43.46,1314.24,62.34,2.8445,2.2909
19 Mar 2018,2712.92,62.712,43.825,65.71,77.247,87.45,43.26,1316.85,62.06,2.8555,2.3075
20 Mar 2018,2716.94,62.11,43.81,66.8,79.326,87.95,43.16,1311.31,63.4,2.8959,2.3448
21 Mar 2018,2711.93,63.306,42.818,66.35,79.093,88.18,43,1332.24,65.17,2.883,2.3055
22 Mar 2018,2643.69,61.82,42.213,64.42,77.246,87.14,42.76,1329.03,64.3,2.8244,2.2786
23 Mar 2018,2588.26,60.308,41.235,64.63,74.778,85.42,42.33,1347.33,65.88,2.8135,2.2538
26 Mar 2018,2658.55,60.836,43.193,65.9,77.793,87.5,42.69,1353.5,65.55,2.852,2.2704
27 Mar 2018,2612.62,55.836,42.085,66.17,74.852,86.05,42.89,1345.05,65.25,2.7753,2.2641
28 Mar 2018,2605,51.556,41.62,65.44,71.571,87.77,43.32,1325.01,64.38,2.7807,2.2842
29 Mar 2018,2640.87,53.226,41.945,66.44,72.367,88.97,43.43,1325.5,64.94,2.7389,2.2661
30 Mar 2018,2640.87,53.226,41.945,66.44,72.367,88.97,43.43,1325.48,64.94,2.7389,2.2661
2 Apr 2018,2581.88,50.496,41.67,64.12,68.6,85.55,42.67,1341.29,63.01,2.7298,2.2459
3 Apr 2018,2614.45,53.506,42.098,66.7,69.602,86.8,43.38,1332.74,63.51,2.7753,2.2782
4 Apr 2018,2644.69,57.388,42.903,68.42,70.529,87.22,44.24,1333.19,63.37,2.8027,2.2924
5 Apr 2018,2662.84,61.144,43.2,69.59,72.588,87.81,44.4,1326.57,63.54,2.832,2.3026
6 Apr 2018,2604.47,59.86,42.095,67.55,70.262,86.69,43.92,1333.03,62.06,2.7735,2.2661
