,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
21 Nov 2018,2649.93,67.638,44.195,72.37,75.837,94.17,48.73,1226.04,54.63,3.0627,2.8139
22 Nov 2018,2649.93,67.638,44.195,72.37,75.837,94.17,48.73,1228.64,54.63,3.0627,2.8139
23 Nov 2018,2632.56,65.166,43.073,71.49,75.103,95.1,49.02,1223.05,50.42,3.039,2.8094
26 Nov 2018,2673.45,69.2,43.655,72.71,79.066,95.15,48.87,1222.4,51.63,3.0535,2.8302
27 Nov 2018,2682.17,68.784,43.56,72.09,79.071,95.04,49.37,1215.05,51.56,3.0572,2.8329
28 Nov 2018,2743.79,69.574,45.235,74.66,83.888,97.46,49.71,1221.23,50.29,3.059,2.8086
29 Nov 2018,2737.76,68.234,44.888,74.34,83.679,97.29,48.98,1224.21,51.45,3.0298,2.8086
30 Nov 2018,2760.17,70.096,44.645,75.12,84.509,97.65,50.4,1220.52,50.93,2.9879,2.7865
3 Dec 2018,2790.37,71.698,46.205,77.94,88.618,98.75,49.69,1230.67,52.95,2.9697,2.8211
4 Dec 2018,2700.06,71.94,44.173,75.79,83.42,95.81,49.58,1238.54,53.25,2.9136,2.7947
5 Dec 2018,2700.06,71.94,44.173,75.79,83.42,95.81,49.58,1237.29,52.89,2.9136,2.7947
6 Dec 2018,2695.95,72.612,43.68,75.54,84.96,94.77,49.38,1237.78,51.49,2.8955,2.76
7 Dec 2018,2633.08,71.593,42.123,73.34,81.457,93.19,49.09,1249.31,52.61,2.845,2.7109
10 Dec 2018,2637.72,73.03,42.4,72.51,82.052,93.94,49.24,1244.46,51,2.8575,2.7292
11 Dec 2018,2636.78,73.352,42.158,73.57,82.162,93.85,49.54,1243.25,51.65,2.879,2.7641
12 Dec 2018,2651.07,73.32,42.275,74.32,83.177,93.11,49.22,1245.66,51.15,2.9096,2.7723
13 Dec 2018,2650.54,75.358,42.738,72.93,82.919,92.96,49.47,1241.99,52.58,2.9131,2.762
14 Dec 2018,2599.95,73.142,41.37,72.53,79.596,91.85,49.34,1239.02,51.2,2.8895,2.733
17 Dec 2018,2545.94,69.684,40.985,69.9,76.046,90.77,48.33,1245.85,49.88,2.857,2.6916
18 Dec 2018,2546.16,67.406,41.518,71.15,77.574,91.08,48.32,1249.42,46.24,2.8175,2.6439
19 Dec 2018,2506.96,66.594,40.223,68.97,74.754,90.55,47.9,1243.08,47.2,2.7548,2.6458
20 Dec 2018,2467.42,63.076,39.208,67.53,73.042,87.28,47.54,1259.86,45.88,2.8065,2.6706
21 Dec 2018,2416.62,63.954,37.683,72.37,68.873,87.13,47.57,1256.94,45.59,2.7902,2.6389
24 Dec 2018,2351.1,59.078,36.708,68.1,67.198,85.82,45.96,1269.22,42.53,2.7383,2.5593
25 Dec 2018,2351.1,59.078,36.708,68.1,67.198,85.82,45.96,1268.54,42.53,2.7383,2.5593
26 Dec 2018,2467.7,65.218,39.293,73.01,73.545,90.41,46.94,1267.14,46.22,2.8079,2.615
27 Dec 2018,2488.83,63.226,39.038,73.67,73.082,91.59,47.53,1275.71,44.61,2.7666,2.5625
28 Dec 2018,2485.74,66.774,39.058,73.34,73.901,92.13,47.2,1280.71,45.33,2.7182,2.5161
31 Dec 2018,2506.85,66.56,39.435,74.14,75.099,93.15,47.35,1282.49,45.41,2.6842,2.4878
1 Jan 2019,2506.85,66.56,39.435,74.14,75.099,93.15,47.35,1282.6,45.41,2.6842,2.4878
2 Jan 2019,2510.03,62.024,39.48,74.06,76.957,93.34,46.93,1284.59,46.54,2.6204,2.4676
